,title,subtitle,link
0,CASH & BURN,Biggest net spenders in last ten years revealed with Man Utd top at £904m,https://www.thesun.co.uk/sport/18378142/net-spend-rankings-man-utd-chelsea-barcelona/
1,CONT-ING MONEY,Antonio Conte will demand £25m-a-year wages to replace Pochettino at PSG,https://www.thesun.co.uk/sport/18379240/antonio-conte-mauricio-pochettino-tottenham-paris-saint-germain/
2,HEN PARTY,Arsenal 'in contact with Osimhen' but Napoli's £84m demands could scupper deal',https://www.thesun.co.uk/sport/football/18378920/arsenal-victor-osimhen-talks-napoli-transfer/
3,KEEP SCH-TUM,Scholes spoke to Lingard after letting slip about 'disaster' dressing room,https://www.thesun.co.uk/sport/18378915/man-utd-scholes-lingard-disaster-talks/
4,PAR-TNERS,Spurs want No2 to Paratici to help transfer supremo land more key targets,https://www.thesun.co.uk/sport/18377735/tottenham-fabio-paratici-assistant-land-transfer-targets-conte/
5,STAT'S MAD,Amazing Man City vs Real stats show how tight Champions League semi will be,https://www.thesun.co.uk/sport/18379690/man-city-real-madrid-champions-league-stats/
6,EN GAARD,Odegaard jokes Haaland needs to join Arsenal if he decides to leave Dortmund,https://www.thesun.co.uk/sport/football/18376618/arsenal-martin-odegaard-erling-haaland-transfer/
7,MAN RE-UNITED,Ten Hag keen to bring back forgotten Man Utd star who he has known since 13,https://www.thesun.co.uk/sport/18378323/ten-hag-keen-man-united-forgotten-man-return/
8,MAD FOR GAB,Arsenal transfer for Jesus 'done and dusted' after talks with representatives,https://www.thesun.co.uk/sport/football/18375212/arsenal-gabriel-jesus-edu-talks-representatives/
9,NO MESS-ING,PSG plan to keep Messi for another season 'but open to letting Neymar leave',https://www.thesun.co.uk/sport/18379212/psg-plan-keep-messi-another-season-neymar-axe/
10,EUR THE BEST,Ultimate Champions League XI of four semi-final teams including Salah & Torres,https://www.thesun.co.uk/sport/18378156/champions-league-xi-liverpool-city-real-villarreal/
11,VICTOR-Y,"Arsenal target Victor Osimhen's tragic story, from losing mum as a child to selling water in the street before stardom",https://www.thesun.co.uk/sport/18375463/arsenal-transfer-target-victor-osimhen-tragic-story/
12,ERL-Y DAYS,Haaland posed in Arsenal kit as a kid as Gunners fans joke 'he's coming home',https://www.thesun.co.uk/sport/18371439/erling-haaland-arsenal-kit-transfer-borussia-dortmund/
13,ALL WRONG,Sky Sports post brutal video of Allan's shocking Liverpool performance,https://www.thesun.co.uk/sport/18377721/everton-allan-merseyside-derby-liverpool-premier-league/
14,KEANE ON HIBS,Roy Keane ready to LEAVE Sky for Hibs as reps make contact with Scottish club,https://www.thesun.co.uk/sport/football/18373857/roy-keane-hibs-manager-sky-sports-man-utd/
15,ALISSON BLUNDERLAND,Chelsea refused to pay for Alisson before forking out more for Kepa,https://www.thesun.co.uk/sport/18376097/chelsea-transfer-news-alisson-kepa-liverpool/
